SongName,Entities
帕格尼尼小提琴协奏曲,PERSON : 帕格尼尼,MUSIC : 小提琴协奏曲
浮生若梦张国荣,PERSON : 张国荣,MUSIC : 浮生若梦
明日之子,MUSIC : 明日之子
阿弥陀佛么么哒,MUSIC : 阿弥陀佛么么哒
小猫
周笔畅,PERSON : 周笔畅
王源宝贝,PERSON : 王源宝
飞的更高
飞的更高(remix)dj海洋&汪峰,PERSON : 汪峰
远走高飞(独唱版),MUSIC : 远走高飞
南方姑娘,MUSIC : 南方姑娘
国歌中华人民共和国国歌,MUSIC : 中华人民共和国国歌
小星星(英文版)嘟拉儿歌,PERSON : 小星星,MUSIC : 小星星
宝贝宝贝,MUSIC : 宝贝宝贝
明天会更好,MUSIC : 明天会更好
红太阳,MUSIC : 红太阳
民歌
年度电音
2018单曲
朴树,PERSON : 朴树
音基音乐版新视唱-中级
音基视唱
传统相声
春晚相声小品大全
朴树,PERSON : 朴树
袁阔成三国演义,PERSON : 袁阔成,MUSIC : 三国演义
袁阔成的三国演义,PERSON : 袁阔成,MUSIC : 三国演义
三国演义,MUSIC : 三国演义
时间简史,MUSIC : 时间简史
时间简史霍金,PERSON : 霍金,MUSIC : 时间简史
抖音最火歌曲2018中文
平凡之路,MUSIC : 平凡之路
赵方婧,PERSON : 赵方婧
普通disco初音
普通disco初音洛天依
普通disco
后来日语版
爱情公寓,MUSIC : 爱情公寓
时光正好,MUSIC : 时光正好
张碧晨,PERSON : 张碧晨
郁可唯
等你下课,MUSIC : 等你下课
好久不见陈奕迅,PERSON : 陈奕迅,MUSIC : 好久不见
董小姐,PERSON : 董小姐,MUSIC : 董小姐
淋雨一直走,MUSIC : 一直走
纸短情长抖音,MUSIC : 纸短情长
并决定跟他回家
今生等你一次回眸
小虎队
星星的约会
劲歌金曲,MUSIC : 劲歌金曲
最终幻想8
经典外文歌曲
艾瑞欧,PERSON : 艾瑞欧
新说唱前线
新说唱艺人
新说唱
爱看啥就看啥
苏喂苏喂,PERSON : 苏喂苏
牛仔,PERSON : 牛仔
圣斗士星矢
深情缚
岚
战场上的圣诞快乐,MUSIC : 圣诞快乐
曾经我也想过一了百了,MUSIC : 我也想
蜜蜂
仓木麻衣柯南
最高的离婚
吴宣仪,PERSON : 吴宣仪
睡吧睡吧我亲爱的宝贝,MUSIC : 我亲爱的宝贝
泰勒斯威夫特,PERSON : 泰勒斯威夫特
艾薇儿拉维妮,PERSON : 艾薇儿拉维妮
摇篮曲,MUSIC : 摇篮曲
抖音
我想对世界说声早上好,MUSIC : 早上好
催眠歌单
水星记,MUSIC : 水星记
儿童故事大全
小跳蛙,MUSIC : 小跳蛙
追光者岑宁儿,PERSON : 岑宁儿,MUSIC : 追光者
凉凉杨宗纬/张碧晨,PERSON : 杨宗纬,PERSON : 张碧晨
当爱在靠近刘若英,PERSON : 刘若英,MUSIC : 当爱在靠近
亲亲我的宝贝,MUSIC : 亲亲我的宝贝
越长越大越孤单
贝瓦儿歌,PERSON : 贝瓦
小木马,PERSON : 小木马,MUSIC : 小木马
林忆莲,PERSON : 林忆莲
李宗盛,PERSON : 李宗盛
别看只是一只羊
大白菜摇滚
别看只是一只羊摇滚
别看我只是一只羊
再见只是陌生人,MUSIC : 再见只是陌生人
心电心,MUSIC : 心电心
小苹果筷子兄弟,MUSIC : 小苹果,MUSIC : 筷子兄弟
海草舞萧全,MUSIC : 海草舞
黄家驹,PERSON : 黄家驹
邓紫棋,PERSON : 邓紫棋
第一次光良,MUSIC : 第一次
抖音
说散就散,MUSIC : 说散就散
娶我回家吧
空空如也,MUSIC : 空空如也
不仅仅是喜欢孙语赛/萧全,MUSIC : 不仅仅是喜欢
体面于文文
张栋梁,PERSON : 张栋梁
烟花易冷,MUSIC : 烟花易冷
清明雨上,MUSIC : 清明雨上
离人愁,MUSIC : 离人愁
山外小楼夜听雨,MUSIC : 山外小楼夜听雨
大梦想家,MUSIC : 大梦想家
不知为何
幻听
断桥残雪,MUSIC : 断桥残雪
花满楼,MUSIC : 花满楼
珍惜
唐人街探案2插曲,MUSIC : 唐人街
赵天宇,PERSON : 赵天宇
我还在冬天
演员
追梦赤子心,MUSIC : 追梦赤子心
马伯骞,PERSON : 马伯骞
周震南,PERSON : 周震南
明日之子,MUSIC : 明日之子
流着泪说分手,MUSIC : 流着泪说分手
小提琴
最炫民族风,MUSIC : 最炫民族风
方大同
小幸运,MUSIC : 小幸运
起风了,MUSIC : 起风了
五月天
演员
薛之谦,PERSON : 薛之谦
小跳蛙,MUSIC : 小跳蛙
捉泥鳅,MUSIC : 捉泥鳅
杨沛宜,PERSON : 杨沛宜
儿童歌曲
庆祝六一
专属天使,MUSIC : 专属天使
跑步
后来的我们,MUSIC : 后来的我们
等你下课,MUSIC : 等你下课
体面
说散就散,MUSIC : 说散就散
毛不易
钢琴曲
卡农
汪苏泷,PERSON : 汪苏泷
田馥甄,PERSON : 田馥甄
寓言
最美
张韶涵,PERSON : 张韶涵
奔跑吧
跑男
这就是爱,MUSIC : 这就是爱
周笔畅,PERSON : 周笔畅
对嘴
斯卡布罗集市,MUSIC : 斯卡布罗集市
英文歌
寂寞暴走,MUSIC : 寂寞暴走
张信哲,PERSON : 张信哲
周杰伦,PERSON : 周杰伦,MUSIC : 周杰伦
粤语歌
周笔畅,PERSON : 周笔畅
鱼罐头,MUSIC : 鱼罐头
周笔畅,PERSON : 周笔畅
好听的英文歌
起风了,MUSIC : 起风了
陈奕迅,PERSON : 陈奕迅
房间
体面
张惠妹,PERSON : 张惠妹
罗大佑夜是秋月明,PERSON : 罗大佑,MUSIC : 夜是秋月明
罗大佑,PERSON : 罗大佑
另一个天堂
五月天
陈粒,PERSON : 陈粒
小半
万妮达
远走高飞,MUSIC : 远走高飞
清白之年,MUSIC : 清白之年
朴树,PERSON : 朴树
纸短情长,MUSIC : 纸短情长
抖音
追光者,MUSIC : 追光者
说散就散,MUSIC : 说散就散
七月上,MUSIC : 七月上
山丹丹开花红艳艳,PERSON : 山丹丹,MUSIC : 山丹丹开花红艳艳
马克西姆,PERSON : 马克西姆
乔家大院
沈文裕,PERSON : 沈文裕
桃花红杏花白,MUSIC : 桃花红杏花白
兰花花,MUSIC : 兰花花
卡农
梁祝,PERSON : 梁祝
千与千寻
秋日私语
克罗地亚狂想曲,MUSIC : 狂想曲
出埃及记
野蜂飞舞
兰花花,MUSIC : 兰花花
小夜曲,MUSIC : 小夜曲
天空之城,MUSIC : 天空之城
豫北叙事曲
日语歌流行
滨崎步犬夜叉,PERSON : 滨崎,MUSIC : 犬夜叉
动漫
摇滚
抒情
后来
滨崎,PERSON : 滨崎
魔卡少女樱
木之本樱
德云社封箱
德云社开箱
德云社10周年
德云社十周年
德云社15周年
德云社十五周年
德云社20周年
德云社二十周年
钢琴曲
大提琴曲
春之歌,MUSIC : 春之歌
纯洁的礼物
纯洁的礼物
小圆舞曲,MUSIC : 圆舞曲
两个掷弹兵
谐虐曲
快乐的农夫
绿袖子,MUSIC : 绿袖子
船歌
拔萝卜,MUSIC : 拔萝卜
春天在哪里,MUSIC : 春天在哪里
王菲,PERSON : 王菲
明天我要嫁给你,MUSIC : 明天我要嫁给你
世上只有妈妈好,MUSIC : 世上只有妈妈好
数鸭子,MUSIC : 数鸭子
我愿做个好孩子
我爱你
儿歌
薛之谦和欧阳娜娜合唱的歌,PERSON : 薛之谦,PERSON : 欧阳娜娜
小幸运,MUSIC : 小幸运
小白兔乖乖,PERSON : 小白兔,MUSIC : 小白兔乖乖
幸福拍手歌,MUSIC : 幸福拍手歌
功夫宝宝
英文歌
励志歌曲
小猪吃的饱饱
小小智慧树少儿节目片尾曲
一千零一夜电视原声,MUSIC : 一千零一夜
《流星花园》电视剧主题曲
林俊杰,PERSON : 林俊杰
四叶草,MUSIC : 四叶草
别怕洗头
奇妙能力歌,MUSIC : 奇妙能力歌
二愣子,MUSIC : 二愣子
爱啦啦,MUSIC : 爱啦啦
你爱我你不爱我,MUSIC : 你不爱我
周渝民,PERSON : 周渝民
护花使者,MUSIC : 护花使者
再见
人人都爱80后
王杰,PERSON : 王杰
陈淑桦,PERSON : 陈淑桦
走马
请跟我来,MUSIC : 跟我来
摩登兄弟
情人
电吉他
刚好遇见你,MUSIC : 刚好遇见你
样样红,MUSIC : 样样红
笑红尘,MUSIC : 笑红尘
逆光
花粥
偶像组合
彩铃
游戏音乐
抖音神曲
赛事主题曲
格莱美音乐奖
凉凉
郑少秋,PERSON : 郑少秋
中国好声音,MUSIC : 中国好声音
跨界歌王
世界杯主题曲
顺子
人间
一腔热血喂了狗
笑看风云,MUSIC : 笑看风云
周华健,PERSON : 周华健
当你老了莫文蔚,PERSON : 莫文蔚,MUSIC : 当你老了
蜗牛与黄鹂鸟,MUSIC : 蜗牛与黄鹂鸟
李白,PERSON : 李白
李荣浩,PERSON : 李荣浩
讲不出再见,MUSIC : 讲不出再见
悟空
五月天
倔强
浅唱
太平歌词
郭德纲,PERSON : 郭德纲
白蛇传,MUSIC : 白蛇传
